Group,Keywords
1,"Phân tích d? li?u, d? li?u l?n, ch?m ?i?m tín d?ng, qu?n lý r?i ro, d? ?oán nhu c?u, ?ánh giá r?i ro tín d?ng, giám sát tuân th? Regtech, phân tích hành vi khách hàng, d? li?u thay th?, bigdata, big data analytic, trung tâm s? hoá NH"
2,"Trí tu? nhân t?o/AI, h?c máy/ML, quy trình t? ??ng, phát hi?n gian l?n, qu?n lý r?i ro, t? v?n t? ??ng, chatbot/tr? lý ?o, cho vay tr?c tuy?n, phân tích c?m xúc ??u t?, ch?m ?i?m tín d?ng, ch?ng r?a ti?n, giám sát tuân th? Regtech, giao d?ch thu?t toán, giám sát theo th?i gian th?c, mô hình d? ?oán, cá nhân hoá d?ch v? khách hàng, tr?i nghi?m khách hàng cá nhân hoá, ti?p th? cá nhân hoá, eKYC/KYC, nh?n di?n khách hàng, xác th?c sinh tr?c."
3,"Blockchain, chu?i kh?i, thanh toán xuyên biên gi?i, thanh toán ngang hàng, tài chính th??ng m?i, token, chu?i cung ?ng tài chính, h?p ??ng thông minh, giao d?ch tín ch?, Trung tâm s? hoá NH"
4,"?i?n toán ?ám mây, d? li?u m? r?ng, l?u tr? d? li?u, d? li?u ?ám mây, IaaS, PaaS, FaaS, SaaS, môi tr??ng th? nghi?m, trung tâm s? hoá NH"
5,"Giao di?n l?p trình ?ng d?ng, Ngân hàng m?, tích h?p bên th? ba, tài chính nhúng, mua tr??c tr? sau BNPL, VietQR, ??nh danh và xác th?c ?i?n t? (eKYC), NH m?, "
,
6,"Ngân hàng s?, Neobank"
7,"Ngân hàng tr?c tuy?n, online banking"
8," Ngân hàng di ??ng, mobile banking"
9,?ng d?ng ngân hàng ?i?n t?/s?
10,Cho vay tr?c tuy?n/online
11,Cho vay t? ??ng
12,Vay th?u chi t? ??ng
13,"Thanh toán di ??ng, thanh toán s?"
14,Quét mã QR
15,"Thanh toán tr?c tuy?n, thanh toán ?i?n t?"
16,"Giao d?ch s? hoá, thanh toán không dùng ti?n m?t"
